,acc_x,acc_y,acc_z,freeacc_x,freeacc_y,freeacc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
142,0.032562,-0.214531,9.839685,0.170829,-0.037347,-0.027837,-0.015176,0.013041,0.000645,-0.141357,-0.115479,-1.465088
143,0.012579,-0.187551,9.797151,0.14209,-0.019587,0.014783,-0.02068,0.014054,-0.001402,-0.137207,-0.113281,-1.467285
144,0.025898,-0.171034,9.803236,0.148935,0.000773,0.009057,-0.020743,0.013018,0.005336,-0.136963,-0.119629,-1.462646
145,0.023725,-0.187646,9.849765,0.15241,-0.014762,-0.037704,-0.018626,0.013092,0.000353,-0.133057,-0.113281,-1.462891
146,0.004227,-0.153468,9.783963,0.121905,0.009693,0.028284,-0.020712,0.013537,0.001963,-0.136963,-0.117676,-1.467285
147,-0.016131,-0.133966,9.764723,0.095483,0.020827,0.047521,-0.018659,0.012573,0.00372,-0.13501,-0.119629,-1.467041
148,0.010956,-0.113449,9.823535,0.11427,0.050326,-0.010715,-0.019349,0.013933,0.003862,-0.141113,-0.117676,-1.465088
149,-0.024478,-0.119572,9.821435,0.082643,0.032171,-0.009106,-0.014488,0.011684,0.000494,-0.136963,-0.117676,-1.465088
150,-0.010131,-0.088104,9.781018,0.084992,0.065939,0.031859,-0.022078,0.013144,5.5e-05,-0.136963,-0.119629,-1.462646
151,-0.027028,-0.123232,9.821383,0.08103,0.027788,-0.009132,-0.015901,0.013883,0.004149,-0.136963,-0.117676,-1.465088
152,-0.027445,-0.110286,9.774817,0.075957,0.039044,0.037583,-0.020715,0.013539,0.001954,-0.130859,-0.115479,-1.465088
153,-0.0488,-0.105542,9.802127,0.054052,0.036751,0.010089,-0.019335,0.014194,0.00217,-0.13916,-0.115479,-1.462891
154,-0.016416,-0.110328,9.827475,0.08629,0.043786,-0.014945,-0.018662,0.012574,0.00371,-0.138916,-0.121826,-1.460449
155,-0.032347,-0.130793,9.821269,0.077809,0.019046,-0.009179,-0.020716,0.01354,0.001949,-0.13501,-0.117432,-1.460449
156,-0.013112,-0.13209,9.770642,0.0959,0.023765,0.041643,-0.020043,0.011919,0.003489,-0.13501,-0.117432,-1.462646
