NO_OF_FRAMES	9217
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-16, 10:54:23.294	2216.09629770
DATA_INCLUDED	3D
MARKER_NAMES	marker1		
Frame	Time	marker1 X	marker1 Y	marker1 Z	 X	 Y	 Z	 X	 Y	 Z	
150	0.99333	964.554	289.669	84.744	0.000	0.000	0.000	0.000	0.000	0.000
151	1.00000	964.524	289.667	84.727	0.000	0.000	0.000	0.000	0.000	0.000
152	1.00667	964.505	289.677	84.725	0.000	0.000	0.000	0.000	0.000	0.000
153	1.01333	964.485	289.632	84.647	0.000	0.000	0.000	0.000	0.000	0.000
154	1.02000	964.459	289.551	84.552	0.000	0.000	0.000	0.000	0.000	0.000
155	1.02667	964.463	289.525	84.544	0.000	0.000	0.000	0.000	0.000	0.000
156	1.03333	964.461	289.512	84.546	0.000	0.000	0.000	0.000	0.000	0.000
157	1.04000	964.495	289.505	84.512	0.000	0.000	0.000	0.000	0.000	0.000
158	1.04667	964.499	289.477	84.473	0.000	0.000	0.000	0.000	0.000	0.000
159	1.05333	964.551	289.472	84.469	0.000	0.000	0.000	0.000	0.000	0.000
160	1.06000	964.614	289.460	84.446	0.000	0.000	0.000	0.000	0.000	0.000
161	1.06667	964.668	289.452	84.423	0.000	0.000	0.000	0.000	0.000	0.000
162	1.07333	964.796	289.452	84.413	0.000	0.000	0.000	0.000	0.000	0.000
163	1.08000	964.876	289.463	84.382	0.000	0.000	0.000	0.000	0.000	0.000
164	1.08667	964.936	289.439	84.336	0.000	0.000	0.000	0.000	0.000	0.000
165	1.09333	965.058	289.399	84.275	0.000	0.000	0.000	0.000	0.000	0.000
166	1.10000	965.202	289.430	84.304	0.000	0.000	0.000	0.000	0.000	0.000
167	1.10667	965.288	289.409	84.247	0.000	0.000	0.000	0.000	0.000	0.000
168	1.11333	965.417	289.427	84.220	0.000	0.000	0.000	0.000	0.000	0.000
169	1.12000	965.484	289.433	84.195	0.000	0.000	0.000	0.000	0.000	0.000
170	1.12667	965.624	289.410	84.147	0.000	0.000	0.000	0.000	0.000	0.000
171	1.13333	965.723	289.432	84.157	0.000	0.000	0.000	0.000	0.000	0.000
172	1.14000	965.819	289.432	84.104	0.000	0.000	0.000	0.000	0.000	0.000
173	1.14667	965.875	289.422	84.063	0.000	0.000	0.000	0.000	0.000	0.000
